半导体	semiconductor
"1077","weight","纺织","钢结构",0.686039912513957,1,"0.68604","ns","Wilcoxon"
"1078","weight","纺织","钢铁",0.195085497827796,1,"0.19509","ns","Wilcoxon"
"1079","weight","纺织","港口航运",0.0210316880718671,1,"0.02103","*","Wilcoxon"
"1080","weight","纺织","公路铁路",0.195984310239192,1,"0.19598","ns","Wilcoxon"
"1081","weight","纺织","光电子器件",0.00248476680810935,1,"0.00248","**","Wilcoxon"
"1082","weight","纺织","广播电视",0.904893319463468,1,"0.90489","ns","Wilcoxon"
"1083","weight","纺织","轨道交通设备",0.00305653034831875,1,"0.00306","**","Wilcoxon"
"1084","weight","纺织","贵金属",0.780839628293583,1,"0.78084","ns","Wilcoxon"
"1085","weight","纺织","航空航天装备",0.00772752881102204,1,"0.00773","**","Wilcoxon"
"1086","weight","纺织","航空机场",0.116610182163035,1,"0.11661","ns","Wilcoxon"
"1087","weight","纺织","合成纤维及树脂",0.038729795094072,1,"0.03873","*","Wilcoxon"
"1088","weight","纺织","互联网服务",0.00598332756088031,1,"0.00598","**","Wilcoxon"
"1089","weight","纺织","互联网技术",0.0805337296248854,1,"0.08053","ns","Wilcoxon"
"1090","weight","纺织","互联网商务",0.450527134455372,1,"0.45053","ns","Wilcoxon"
"1091","weight","纺织","化肥农药",0.8314224723324,1,"0.83142","ns","Wilcoxon"
"1092","weight","纺织","化学新材料",6.43287415454213e-07,0.0018,"6.4e-07","****","Wilcoxon"
"1093","weight","纺织","化学原料",0.114362758328779,1,"0.11436","ns","Wilcoxon"
"1094","weight","纺织","化学制品",0.0571282722816891,1,"0.05713","ns","Wilcoxon"
"1095","weight","纺织","化学制药",0.889237360155915,1,"0.88924","ns","Wilcoxon"
"1096","weight","纺织","环保",0.00129570833620932,1,"0.00130","**","Wilcoxon"
"1097","weight","纺织","机器人",0.454968180618642,1,"0.45497","ns","Wilcoxon"
"1098","weight","纺织","基本金属",0.635259913078947,1,"0.63526","ns","Wilcoxon"
"1099","weight","纺织","基础建设",0.187043598704622,1,"0.18704","ns","Wilcoxon"
"1100","weight","纺织","计算机软件",0.00228372105234353,1,"0.00228","**","Wilcoxon"
"1101","weight","纺织","计算机硬件",0.00459913257894947,1,"0.00460","**","Wilcoxon"
"1102","weight","纺织","家具",0.218821077035974,1,"0.21882","ns","Wilcoxon"
"1103","weight","纺织","建筑施工",3.60064207017614e-07,0.001,"3.6e-07","****","Wilcoxon"
"1104","weight","纺织","教育",0.710543883722962,1,"0.71054","ns","Wilcoxon"
"1105","weight","纺织","金属非金属新材料",0.0509271387590252,1,"0.05093","ns","Wilcoxon"
"1106","weight","纺织","金属制品",0.00558931486219926,1,"0.00559","**","Wilcoxon"
"1107","weight","纺织","林业",0.0324650787312469,1,"0.03247","*","Wilcoxon"
"1108","weight","纺织","零售",0.1874484052393,1,"0.18745","ns","Wilcoxon"
"1109","weight","纺织","贸易",0.67311050288571,1,"0.67311","ns","Wilcoxon"
"1110","weight","纺织","煤炭",0.857073724812074,1,"0.85707","ns","Wilcoxon"
"1111","weight","纺织","耐火材料",2.44946908552494e-06,0.0066,"2.4e-06","****","Wilcoxon"
"1112","weight","纺织","农业",0.06498570139337,1,"0.06499","ns","Wilcoxon"
"1113","weight","纺织","平面媒体",0.507269868486385,1,"0.50727","ns","Wilcoxon"
"1114","weight","纺织","其他电气设备",0.0888631422450935,1,"0.08886","ns","Wilcoxon"
"1115","weight","纺织","其他家电",0.572498581069621,1,"0.57250","ns","Wilcoxon"
"1116","weight","纺织","其他建材",0.349029111417498,1,"0.34903","ns","Wilcoxon"
"1117","weight","纺织","其他交运设备",0.306232728752173,1,"0.30623","ns","Wilcoxon"
"1118","weight","纺织","其他轻工",0.239691279707286,1,"0.23969","ns","Wilcoxon"
"1119","weight","纺织","汽车",0.217906394130002,1,"0.21791","ns","Wilcoxon"
"1120","weight","纺织","燃气",0.530011348648,1,"0.53001","ns","Wilcoxon"
"1121","weight","纺织","商业物业经营",0.110959279638086,1,"0.11096","ns","Wilcoxon"
"1122","weight","纺织","生物医药",0.0380279048269153,1,"0.03803","*","Wilcoxon"
"1123","weight","纺织","石油天然气",0.14996551761421,1,"0.14997","ns","Wilcoxon"
"1124","weight","纺织","食品",0.0282289854598732,1,"0.02823","*","Wilcoxon"
"1125","weight","纺织","视听器材",0.0301459058938756,1,"0.03015","*","Wilcoxon"
"1126","weight","纺织","输变电设备",0.65814031989252,1,"0.65814","ns","Wilcoxon"
"1127","weight","纺织","水泥",0.797800720397774,1,"0.79780","ns","Wilcoxon"
"1128","weight","纺织","水务",0.803871625659436,1,"0.80387","ns","Wilcoxon"
"1129","weight","纺织","陶瓷",0.0402298772163012,1,"0.04023","*","Wilcoxon"
"1130","weight","纺织","铁矿石",0.584307660894873,1,"0.58431","ns","Wilcoxon"
"1131","weight","纺织","铁路设备",0.00209846900665169,1,"0.00210","**","Wilcoxon"
"1132","weight","纺织","通信设备",0.0848696014722772,1,"0.08487","ns","Wilcoxon"
"1133","weight","纺织","通用设备",0.803507638008738,1,"0.80351","ns","Wilcoxon"
"1134","weight","纺织","卫星应用",0.26033322984675,1,"0.26033","ns","Wilcoxon"
"1135","weight","纺织","文娱用品",0.0181127614626533,1,"0.01811","*","Wilcoxon"
"1136","weight","纺织","物流",0.962848072256093,1,"0.96285","ns","Wilcoxon"
"1137","weight","纺织","稀有金属",0.438438884234099,1,"0.43844","ns","Wilcoxon"
"1138","weight","纺织","橡胶制品",0.150001641527707,1,"0.15000","ns","Wilcoxon"
"1139","weight","纺织","消费电子设备",0.166447234280935,1,"0.16645","ns","Wilcoxon"
"1140","weight","纺织","小家电",0.0268286111259962,1,"0.02683","*","Wilcoxon"
"1141","weight","纺织","休闲服务",0.742930073449156,1,"0.74293","ns","Wilcoxon"
"1142","weight","纺织","医疗服务",0.0601537862592532,1,"0.06015","ns","Wilcoxon"
"1143","weight","纺织","医疗器械",0.970681704995843,1,"0.97068","ns","Wilcoxon"
"1144","weight","纺织","医药商业",7.80841558144373e-05,0.19,"7.8e-05","****","Wilcoxon"
"1145","weight","纺织","银行",0.337500451592659,1,"0.33750","ns","Wilcoxon"
"1146","weight","纺织","饮料",0.390349341897292,1,"0.39035","ns","Wilcoxon"
"1147","weight","纺织","营销服务",0.313024356708823,1,"0.31302","ns","Wilcoxon"
"1148","weight","纺织","影视动漫",0.00345405926500464,1,"0.00345","**","Wilcoxon"
"1149","weight","纺织","渔业",0.762901573839445,1,"0.76290","ns","Wilcoxon"
"1150","weight","纺织","造纸印刷",0.0420325443131816,1,"0.04203","*","Wilcoxon"
"1151","weight","纺织","照明设备",0.0957977931023275,1,"0.09580","ns","Wilcoxon"
"1152","weight","纺织","中药生产",0.0313604125728173,1,"0.03136","*","Wilcoxon"
"1153","weight","纺织","珠宝首饰",3.76129895037264e-11,1.2e-07,"3.8e-11","****","Wilcoxon"
"1154","weight","纺织","专业服务",0.0856855629024002,1,"0.08569","ns","Wilcoxon"
"1155","weight","纺织","专用设备",0.968240528378793,1,"0.96824","ns","Wilcoxon"
"1156","weight","纺织","装修装饰",0.213009145616362,1,"0.21301","ns","Wilcoxon"
"1157","weight","纺织","综合",0.0196768561964949,1,"0.01968","*","Wilcoxon"
"1158","weight","非银行金融","服装家纺",1.05239123861775e-15,3.7e-12,"1.1e-15","****","Wilcoxon"
"1159","weight","非银行金融","钢结构",0.294094429832987,1,"0.29409","ns","Wilcoxon"
"1160","weight","非银行金融","钢铁",7.26460370347333e-06,0.019,"7.3e-06","****","Wilcoxon"
"1161","weight","非银行金融","港口航运",2.07062281643814e-06,0.0056,"2.1e-06","****","Wilcoxon"
"1162","weight","非银行金融","公路铁路",0.0375290514168008,1,"0.03753","*","Wilcoxon"
"1163","weight","非银行金融","光电子器件",2.15200609166774e-12,7.1e-09,"2.2e-12","****","Wilcoxon"
"1164","weight","非银行金融","广播电视",0.776576569205092,1,"0.77658","ns","Wilcoxon"
"1165","weight","非银行金融","轨道交通设备",4.49271125121792e-05,0.11,"4.5e-05","****","Wilcoxon"
"1166","weight","非银行金融","贵金属",0.767163989065154,1,"0.76716","ns","Wilcoxon"
"1167","weight","非银行金融","航空航天装备",2.2689927596725e-09,6.9e-06,"2.3e-09","****","Wilcoxon"
"1168","weight","非银行金融","航空机场",0.00308338248888229,1,"0.00308","**","Wilcoxon"
"1169","weight","非银行金融","合成纤维及树脂",8.06827888366224e-09,2.4e-05,"8.1e-09","****","Wilcoxon"
"1170","weight","非银行金融","互联网服务",7.34936566078707e-11,2.3e-07,"7.3e-11","****","Wilcoxon"
"1171","weight","非银行金融","互联网技术",2.97450514408445e-06,0.0079,"3.0e-06","****","Wilcoxon"
"1172","weight","非银行金融","互联网商务",0.354216471238698,1,"0.35422","ns","Wilcoxon"
"1173","weight","非银行金融","化肥农药",0.366034519619643,1,"0.36603","ns","Wilcoxon"
"1174","weight","非银行金融","化学新材料",7.93367613732808e-38,3.2e-34,"< 2e-16","****","Wilcoxon"
"1175","weight","非银行金融","化学原料",4.90744698829659e-08,0.00014,"4.9e-08","****","Wilcoxon"
"1176","weight","非银行金融","化学制品",8.90201345239335e-09,2.7e-05,"8.9e-09","****","Wilcoxon"
"1177","weight","非银行金融","化学制药",0.867602778082694,1,"0.86760","ns","Wilcoxon"
"1178","weight","非银行金融","环保",8.4156271948705e-18,3e-14,"< 2e-16","****","Wilcoxon"
"1179","weight","非银行金融","机器人",0.139408985559813,1,"0.13941","ns","Wilcoxon"
"1180","weight","非银行金融","基本金属",0.0677118913762673,1,"0.06771","ns","Wilcoxon"
"1181","weight","非银行金融","基础建设",0.000822786433720681,1,"0.00082","***","Wilcoxon"
"1182","weight","非银行金融","计算机软件",2.6127453377005e-18,9.4e-15,"< 2e-16","****","Wilcoxon"
"1183","weight","非银行金融","计算机硬件",2.867869059099e-19,1e-15,"< 2e-16","****","Wilcoxon"
"1184","weight","非银行金融","家具",0.0037520016747234,1,"0.00375","**","Wilcoxon"
"1185","weight","非银行金融","建筑施工",2.06472550510908e-42,8.4e-39,"< 2e-16","****","Wilcoxon"
"1186","weight","非银行金融","教育",0.662624929895786,1,"0.66262","ns","Wilcoxon"
"1187","weight","非银行金融","金属非金属新材料",3.75749065201887e-09,1.1e-05,"3.8e-09","****","Wilcoxon"
"1188","weight","非银行金融","金属制品",2.90606109511677e-16,1e-12,"2.9e-16","****","Wilcoxon"
"1189","weight","非银行金融","林业",0.00901839188078392,1,"0.00902","**","Wilcoxon"
"1190","weight","非银行金融","零售",0.146569527146877,1,"0.14657","ns","Wilcoxon"
"1191","weight","非银行金融","贸易",0.368540891124478,1,"0.36854","ns","Wilcoxon"
"1192","weight","非银行金融","煤炭",0.765814150017238,1,"0.76581","ns","Wilcoxon"
"1193","weight","非银行金融","耐火材料",3.07276275997653e-29,1.2e-25,"< 2e-16","****","Wilcoxon"
"1194","weight","非银行金融","农业",0.000323076470539752,0.73,"0.00032","***","Wilcoxon"
"1195","weight","非银行金融","平面媒体",0.262162913880838,1,"0.26216","ns","Wilcoxon"
"1196","weight","非银行金融","其他电气设备",1.26648602298725e-06,0.0034,"1.3e-06","****","Wilcoxon"
"1197","weight","非银行金融","其他家电",0.0401477140361429,1,"0.04015","*","Wilcoxon"
"1198","weight","非银行金融","其他建材",0.0316191674868789,1,"0.03162","*","Wilcoxon"
"1199","weight","非银行金融","其他交运设备",0.0305585376249037,1,"0.03056","*","Wilcoxon"
"1200","weight","非银行金融","其他轻工",0.0265990649222814,1,"0.02660","*","Wilcoxon"
"1201","weight","非银行金融","汽车",0.000146754342233283,0.34,"0.00015","***","Wilcoxon"
"1202","weight","非银行金融","燃气",0.28255640656747,1,"0.28256","ns","Wilcoxon"
"1203","weight","非银行金融","商业物业经营",0.106514088886706,1,"0.10651","ns","Wilcoxon"
"1204","weight","非银行金融","生物医药",0.000384031941107061,0.87,"0.00038","***","Wilcoxon"
"1205","weight","非银行金融","石油天然气",2.80829824489701e-07,0.00079,"2.8e-07","****","Wilcoxon"
"1206","weight","非银行金融","食品",4.51707428163948e-08,0.00013,"4.5e-08","****","Wilcoxon"
"1207","weight","非银行金融","视听器材",6.51958167183353e-09,2e-05,"6.5e-09","****","Wilcoxon"
"1208","weight","非银行金融","输变电设备",0.208859997864406,1,"0.20886","ns","Wilcoxon"
"1209","weight","非银行金融","水泥",0.260593831794211,1,"0.26059","ns","Wilcoxon"
"1210","weight","非银行金融","水务",0.853244519989552,1,"0.85324","ns","Wilcoxon"
"1211","weight","非银行金融","陶瓷",1.0052773277967e-07,0.00029,"1.0e-07","****","Wilcoxon"
"1212","weight","非银行金融","铁矿石",0.644131506579776,1,"0.64413","ns","Wilcoxon"
"1213","weight","非银行金融","铁路设备",1.14194136699655e-08,3.4e-05,"1.1e-08","****","Wilcoxon"
"1214","weight","非银行金融","通信设备",2.99583107527225e-07,0.00084,"3.0e-07","****","Wilcoxon"
"1215","weight","非银行金融","通用设备",0.590161712823835,1,"0.59016","ns","Wilcoxon"
"1216","weight","非银行金融","卫星应用",0.000947183771835543,1,"0.00095","***","Wilcoxon"
"1217","weight","非银行金融","文娱用品",6.41816635112186e-05,0.16,"6.4e-05","****","Wilcoxon"
"1218","weight","非银行金融","物流",0.415254119926135,1,"0.41525","ns","Wilcoxon"
"1219","weight","非银行金融","稀有金属",0.0151744207665326,1,"0.01517","*","Wilcoxon"
"1220","weight","非银行金融","橡胶制品",9.53197751012096e-06,0.025,"9.5e-06","****","Wilcoxon"
"1221","weight","非银行金融","消费电子设备",0.000562641699740237,1,"0.00056","***","Wilcoxon"
"1222","weight","非银行金融","小家电",3.73846640070944e-10,1.2e-06,"3.7e-10","****","Wilcoxon"
"1223","weight","非银行金融","休闲服务",0.75768474775792,1,"0.75768","ns","Wilcoxon"
"1224","weight","非银行金融","医疗服务",0.000215543611769879,0.5,"0.00022","***","Wilcoxon"
"1225","weight","非银行金融","医疗器械",0.798712535014838,1,"0.79871","ns","Wilcoxon"
"1226","weight","非银行金融","医药商业",9.33626246176295e-18,3.3e-14,"< 2e-16","****","Wilcoxon"
"1227","weight","非银行金融","银行",0.0551829096201308,1,"0.05518","ns","Wilcoxon"
"1228","weight","非银行金融","饮料",0.129173681722434,1,"0.12917","ns","Wilcoxon"
"1229","weight","非银行金融","营销服务",0.0320325940685414,1,"0.03203","*","Wilcoxon"
"1230","weight","非银行金融","影视动漫",0.00109617474484512,1,"0.00110","**","Wilcoxon"
"1231","weight","非银行金融","渔业",0.793020706010853,1,"0.79302","ns","Wilcoxon"
"1232","weight","非银行金融","造纸印刷",8.25329508392446e-12,2.7e-08,"8.3e-12","****","Wilcoxon"
"1233","weight","非银行金融","照明设备",3.55377090359428e-06,0.0094,"3.6e-06","****","Wilcoxon"
"1234","weight","非银行金融","中药生产",1.75563443941025e-07,5e-04,"1.8e-07","****","Wilcoxon"
"1235","weight","非银行金融","珠宝首饰",3.61329278383447e-18,1.3e-14,"< 2e-16","****","Wilcoxon"
"1236","weight","非银行金融","专业服务",1.45312955396667e-07,0.00041,"1.5e-07","****","Wilcoxon"
"1237","weight","非银行金融","专用设备",0.586372089585201,1,"0.58637","ns","Wilcoxon"
"1238","weight","非银行金融","装修装饰",0.00219973983129719,1,"0.00220","**","Wilcoxon"
"1239","weight","非银行金融","综合",3.72158784552992e-07,0.001,"3.7e-07","****","Wilcoxon"
"1240","weight","服装家纺","钢结构",3.79714130766115e-88,1.7e-84,"< 2e-16","****","Wilcoxon"
"1241","weight","服装家纺","钢铁",1.11928774164002e-107,5e-104,"< 2e-16","****","Wilcoxon"
"1242","weight","服装家纺","港口航运",8.05356901950374e-20,2.9e-16,"< 2e-16","****","Wilcoxon"
"1243","weight","服装家纺","公路铁路",2.95730969488683e-11,9.5e-08,"3.0e-11","****","Wilcoxon"
"1244","weight","服装家纺","光电子器件",2.21849394310897e-10,7e-07,"2.2e-10","****","Wilcoxon"
"1245","weight","服装家纺","广播电视",0.0227248621703335,1,"0.02272","*","Wilcoxon"
"1246","weight","服装家纺","轨道交通设备",1.78867700218627e-07,0.00051,"1.8e-07","****","Wilcoxon"
"1247","weight","服装家纺","贵金属",0.28911676264016,1,"0.28912","ns","Wilcoxon"
"1248","weight","服装家纺","航空航天装备",0.0572590960722814,1,"0.05726","ns","Wilcoxon"
"1249","weight","服装家纺","航空机场",2.41194861293792e-08,7.1e-05,"2.4e-08","****","Wilcoxon"
"1250","weight","服装家纺","合成纤维及树脂",2.75442887165695e-105,1.2e-101,"< 2e-16","****","Wilcoxon"
"1251","weight","服装家纺","互联网服务",4.68197257683387e-51,2e-47,"< 2e-16","****","Wilcoxon"
"1252","weight","服装家纺","互联网技术",4.76345056955851e-23,1.8e-19,"< 2e-16","****","Wilcoxon"
"1253","weight","服装家纺","互联网商务",0.00372473259083406,1,"0.00372","**","Wilcoxon"
"1254","weight","服装家纺","化肥农药",5.0625921066926e-47,2.1e-43,"< 2e-16","****","Wilcoxon"
"1255","weight","服装家纺","化学新材料",3.51163018218961e-200,1.6e-196,"< 2e-16","****","Wilcoxon"
